confidence,hypo_step,max_arm_length,num_threads,exec_time_ms
24,3,12,32,6385.0
14,3,12,32,6019.0
64,2,12,32,8289.0
54,2,12,32,8687.0
44,2,12,32,8323.0
34,2,12,32,8639.0
24,2,12,32,7959.0
14,2,12,32,7734.0
64,1,12,32,14136.0
54,1,12,32,12981.0
44,1,12,32,12743.0
34,1,12,32,12359.0
24,1,12,32,12190.0
14,1,12,32,12852.0
64,3,11,32,6598.0
54,3,11,32,6824.0
44,3,11,32,6187.0
34,3,11,32,6022.0
24,3,11,32,6596.0
14,3,11,32,6571.0
64,2,11,32,7843.0
54,2,11,32,8228.0
44,2,11,32,7744.0
34,2,11,32,8610.0
34,2,11,32,8840.0
14,2,11,32,8216.0
64,1,11,32,12531.0
54,1,11,32,12665.0
44,1,11,32,12232.0
34,1,11,32,11960.0
24,1,11,32,12567.0
14,1,11,32,12675.0
64,3,10,32,6476.0
54,3,10,32,6970.0
44,3,10,32,7156.0
34,3,10,32,7455.0
24,3,10,32,7008.0
14,3,10,32,6482.0
64,2,10,32,8311.0
54,2,10,32,8593.0
44,2,10,32,8361.0
34,2,10,32,7974.0
24,2,10,32,8973.0
14,2,10,32,8665.0
64,1,10,32,11688.0
54,1,10,32,12644.0
44,1,10,32,12170.0
34,1,10,32,12178.0
24,1,10,32,13348.0
14,1,10,32,13631.0
64,3,9,32,6102.0
54,3,9,32,6842.0
44,3,9,32,6734.0
34,3,9,32,6603.0
24,3,9,32,6313.0
14,3,9,32,11683.0
64,2,9,32,9143.0
54,2,9,32,8645.0
44,2,9,32,8901.0
34,2,9,32,9146.0
24,2,9,32,9684.0
14,2,9,32,10035.0
64,1,9,32,14301.0
54,1,9,32,13442.0
44,1,9,32,12944.0
34,1,9,32,13549.0
24,1,9,32,11829.0
14,1,9,32,14018.0
64,3,8,32,7228.0
54,3,8,32,6918.0
44,3,8,32,6509.0
34,3,8,32,6026.0
24,3,8,32,6515.0
14,3,8,32,6712.0
64,2,8,32,8109.0
54,2,8,32,8862.0
44,2,8,32,8160.0
34,2,8,32,8374.0
24,2,8,32,8783.0
14,2,8,32,7217.0
64,1,8,32,11297.0
54,1,8,32,12449.0
44,1,8,32,12496.0
34,1,8,32,12155.0
24,1,8,32,13181.0
14,1,8,32,12790.0
64,3,7,32,7384.0
54,3,7,32,7683.0
44,3,7,32,7681.0
34,3,7,32,7197.0
24,3,7,32,7286.0
14,3,7,32,7373.0
64,2,7,32,9097.0
54,2,7,32,8868.0
44,2,7,32,9648.0
34,2,7,32,9335.0
24,2,7,32,8370.0
14,2,7,32,8673.0
64,1,7,32,12608.0
54,1,7,32,12505.0
44,1,7,32,13016.0
34,1,7,32,12223.0
24,1,7,32,12668.0
14,1,7,32,13875.0
64,3,6,32,6518.0
54,3,6,32,6673.0
44,3,6,32,7874.0
34,3,6,32,6852.0
24,3,6,32,7002.0
14,3,6,32,6899.0
64,2,6,32,8241.0
54,2,6,32,7964.0
44,2,6,32,8410.0
34,2,6,32,8218.0
24,2,6,32,7537.0
14,2,6,32,7810.0
64,1,6,32,12500.0
54,1,6,32,11759.0
44,1,6,32,12112.0
34,1,6,32,12011.0
24,1,6,32,12750.0
14,1,6,32,11836.0
64,3,5,32,6923.0
54,3,5,32,7468.0
54,3,5,32,5901.0
34,3,5,32,7210.0
24,3,5,32,5831.0
14,3,5,32,6863.0
64,2,5,32,7252.0
54,2,5,32,7435.0
44,2,5,32,7733.0
34,2,5,32,7336.0
24,2,5,32,7622.0
14,2,5,32,8564.0
64,1,5,32,11958.0
54,1,5,32,12163.0
44,1,5,32,12513.0
34,1,5,32,12236.0
24,1,5,32,12076.0
14,1,5,32,12758.0
64,3,4,32,6707.0
54,3,4,32,5924.0
44,3,4,32,5885.0
34,3,4,32,6850.0
24,3,4,32,7529.0
14,3,4,32,5424.0
64,2,4,32,7691.0
54,2,4,32,7871.0
44,2,4,32,7160.0
34,2,4,32,7266.0
24,2,4,32,8262.0
14,2,4,32,8062.0
64,1,4,32,11293.0
54,1,4,32,11387.0
44,1,4,32,11385.0
34,1,4,32,11205.0
24,1,4,32,11381.0
14,1,4,32,11181.0
64,3,3,32,6020.0
54,3,3,32,6217.0
44,3,3,32,6380.0
34,3,3,32,5784.0
24,3,3,32,6375.0
14,3,3,32,6796.0
64,2,3,32,8400.0
54,2,3,32,8496.0
44,2,3,32,8333.0
34,2,3,32,8616.0
24,2,3,32,7879.0
14,2,3,32,7996.0
64,1,3,32,11590.0
54,1,3,32,11577.0
44,1,3,32,13132.0
34,1,3,32,12220.0
24,1,3,32,11464.0
14,1,3,32,11588.0
64,3,2,32,6318.0
54,3,2,32,7385.0
44,3,2,32,6585.0
34,3,2,32,6170.0
24,3,2,32,7507.0
14,3,2,32,6204.0
64,2,2,32,7446.0
54,2,2,32,8051.0
44,2,2,32,7353.0
34,2,2,32,7397.0
24,2,2,32,7435.0
14,2,2,32,7786.0
64,1,2,32,10872.0
54,1,2,32,11288.0
44,1,2,32,11819.0
34,1,2,32,11762.0
24,1,2,32,11399.0
14,1,2,32,12001.0
64,3,1,32,6938.0
54,3,1,32,8082.0
44,3,1,32,7539.0
34,3,1,32,7273.0
24,3,1,32,6446.0
14,3,1,32,6619.0
64,2,1,32,8222.0
54,2,1,32,7651.0
44,2,1,32,7873.0
34,2,1,32,7065.0
24,2,1,32,6465.0
14,2,1,32,8806.0
64,1,1,32,11459.0
54,1,1,32,11564.0
44,1,1,32,11024.0
34,1,1,32,11132.0
24,1,1,32,11727.0
14,1,1,32,11048.0
64,3,16,31,6839.0
54,3,16,31,6874.0
44,3,16,31,6942.0
34,3,16,31,7306.0
24,3,16,31,7331.0
14,3,16,31,7105.0
64,2,16,31,8728.0
54,2,16,31,8422.0
44,2,16,31,8625.0
34,2,16,31,8433.0
24,2,16,31,8369.0
14,2,16,31,8558.0
14,2,16,31,9020.0
54,1,16,31,13191.0
44,1,16,31,13272.0
34,1,16,31,13358.0
24,1,16,31,12888.0
14,1,16,31,12922.0
64,3,15,31,6784.0
54,3,15,31,6696.0
44,3,15,31,7032.0
34,3,15,31,7295.0
24,3,15,31,6983.0
14,3,15,31,7037.0
64,2,15,31,8727.0
54,2,15,31,8521.0
44,2,15,31,8658.0
34,2,15,31,8559.0
24,2,15,31,8829.0
14,2,15,31,8391.0
64,1,15,31,12859.0
54,1,15,31,12878.0
44,1,15,31,13033.0
34,1,15,31,12967.0
24,1,15,31,13267.0
14,1,15,31,12874.0
64,3,14,31,6645.0
54,3,14,31,7421.0
44,3,14,31,6959.0
34,3,14,31,7189.0
24,3,14,31,6910.0
14,3,14,31,6451.0
64,2,14,31,8328.0
54,2,14,31,8747.0
44,2,14,31,8369.0
34,2,14,31,8089.0
24,2,14,31,7878.0
14,2,14,31,8051.0
64,1,14,31,12620.0
54,1,14,31,12818.0
44,1,14,31,13281.0
34,1,14,31,12730.0
24,1,14,31,13067.0
14,1,14,31,12515.0
64,3,13,31,6857.0
54,3,13,31,6924.0
44,3,13,31,7662.0
34,3,13,31,7362.0
24,3,13,31,6512.0
14,3,13,31,7735.0
64,2,13,31,8675.0
54,2,13,31,8711.0
44,2,13,31,7930.0
34,2,13,31,8018.0
24,2,13,31,8044.0
14,2,13,31,8255.0
64,1,13,31,12998.0
54,1,13,31,12891.0
44,1,13,31,12349.0
34,1,13,31,12309.0
24,1,13,31,13063.0
14,1,13,31,12893.0
64,3,12,31,7277.0
54,3,12,31,6719.0
44,3,12,31,6636.0
34,3,12,31,6569.0
24,3,12,31,6437.0
14,3,12,31,6440.0
64,2,12,31,8183.0
54,2,12,31,8223.0
44,2,12,31,8407.0
34,2,12,31,8335.0
24,2,12,31,8712.0
14,2,12,31,8456.0
64,1,12,31,13035.0
54,1,12,31,13087.0
44,1,12,31,13105.0
34,1,12,31,12783.0
24,1,12,31,13070.0
14,1,12,31,13728.0
64,3,11,31,7285.0
54,3,11,31,7728.0
44,3,11,31,6580.0
34,3,11,31,6976.0
24,3,11,31,6455.0
14,3,11,31,7010.0
64,2,11,31,8362.0
54,2,11,31,8759.0
44,2,11,31,8655.0
34,2,11,31,8343.0
24,2,11,31,8581.0
14,2,11,31,7989.0
64,1,11,31,12819.0
54,1,11,31,12457.0
44,1,11,31,13258.0
34,1,11,31,12971.0
24,1,11,31,12673.0
14,1,11,31,12706.0
64,3,10,31,7010.0
54,3,10,31,6690.0
44,3,10,31,6332.0
34,3,10,31,6883.0
34,3,10,31,7113.0
14,3,10,31,7264.0
64,2,10,31,8849.0
54,2,10,31,8323.0
44,2,10,31,8390.0
34,2,10,31,7885.0
24,2,10,31,8664.0
14,2,10,31,9308.0
64,1,10,31,13005.0
54,1,10,31,12116.0
44,1,10,31,12575.0
34,1,10,31,12379.0
24,1,10,31,12824.0
14,1,10,31,12479.0
64,3,9,31,6680.0
54,3,9,31,6654.0
44,3,9,31,6162.0
34,3,9,31,6260.0
24,3,9,31,6280.0
14,3,9,31,6926.0
64,2,9,31,7639.0
54,2,9,31,7957.0
44,2,9,31,7920.0
34,2,9,31,8568.0
24,2,9,31,7746.0
14,2,9,31,8191.0
64,1,9,31,12230.0
54,1,9,31,12180.0
44,1,9,31,12786.0
34,1,9,31,12889.0
24,1,9,31,12926.0
14,1,9,31,12816.0
64,3,8,31,6089.0
54,3,8,31,6177.0
44,3,8,31,6196.0
34,3,8,31,6739.0
24,3,8,31,7193.0
14,3,8,31,6541.0
64,2,8,31,7728.0
54,2,8,31,8061.0
44,2,8,31,7832.0
34,2,8,31,8184.0
24,2,8,31,7221.0
14,2,8,31,8051.0
64,1,8,31,12546.0
54,1,8,31,12009.0
44,1,8,31,11752.0
34,1,8,31,12111.0
24,1,8,31,12705.0
14,1,8,31,12657.0
64,3,7,31,5974.0
54,3,7,31,6611.0
44,3,7,31,6100.0
34,3,7,31,6508.0
24,3,7,31,6443.0
14,3,7,31,5859.0
64,2,7,31,7269.0
54,2,7,31,8396.0
44,2,7,31,8778.0
34,2,7,31,7810.0
24,2,7,31,9031.0
14,2,7,31,7495.0
64,1,7,31,11467.0
54,1,7,31,11306.0
44,1,7,31,11829.0
34,1,7,31,12146.0
24,1,7,31,11934.0
14,1,7,31,11648.0
64,3,6,31,5401.0
54,3,6,31,5681.0
44,3,6,31,5695.0
34,3,6,31,6736.0
24,3,6,31,5750.0
14,3,6,31,6368.0
64,2,6,31,6873.0
54,2,6,31,6943.0
44,2,6,31,7863.0
34,2,6,31,6727.0
24,2,6,31,7130.0
14,2,6,31,7142.0
64,1,6,31,11005.0
54,1,6,31,12124.0
44,1,6,31,11614.0
34,1,6,31,11732.0
24,1,6,31,12135.0
14,1,6,31,12117.0
64,3,5,31,5539.0
54,3,5,31,5552.0
44,3,5,31,5717.0
34,3,5,31,5683.0
24,3,5,31,5573.0
14,3,5,31,5913.0
64,2,5,31,7145.0
54,2,5,31,7555.0
44,2,5,31,6984.0
34,2,5,31,6964.0
24,2,5,31,7180.0
14,2,5,31,7016.0
64,1,5,31,11270.0
54,1,5,31,11385.0
54,1,5,31,12034.0
34,1,5,31,11472.0
24,1,5,31,11919.0
14,1,5,31,11631.0
64,3,4,31,5830.0
54,3,4,31,5273.0
44,3,4,31,5429.0
34,3,4,31,5237.0
24,3,4,31,6990.0
14,3,4,31,6559.0
64,2,4,31,6647.0
54,2,4,31,7594.0
44,2,4,31,6676.0
34,2,4,31,7130.0
24,2,4,31,7311.0
14,2,4,31,7008.0
64,1,4,31,10351.0
54,1,4,31,10485.0
44,1,4,31,10487.0
34,1,4,31,10859.0
24,1,4,31,11512.0
14,1,4,31,11309.0
64,3,3,31,5565.0
54,3,3,31,5957.0
44,3,3,31,5739.0
34,3,3,31,6500.0
24,3,3,31,6314.0
14,3,3,31,5965.0
64,2,3,31,6925.0
54,2,3,31,6648.0
44,2,3,31,7264.0
34,2,3,31,6663.0
24,2,3,31,7005.0
14,2,3,31,6785.0
64,1,3,31,10839.0
54,1,3,31,11632.0
44,1,3,31,10583.0
34,1,3,31,10774.0
24,1,3,31,10449.0
14,1,3,31,11178.0
64,3,2,31,5665.0
54,3,2,31,7505.0
44,3,2,31,5943.0
34,3,2,31,5725.0
24,3,2,31,5870.0
14,3,2,31,6724.0
64,2,2,31,8262.0
54,2,2,31,6606.0
44,2,2,31,7186.0
34,2,2,31,6986.0
24,2,2,31,6930.0
14,2,2,31,7931.0
64,1,2,31,10837.0
54,1,2,31,11791.0
44,1,2,31,11548.0
34,1,2,31,11664.0
24,1,2,31,11626.0
14,1,2,31,11132.0
64,3,1,31,5213.0
54,3,1,31,5834.0
44,3,1,31,6045.0
34,3,1,31,5554.0
24,3,1,31,6304.0
14,3,1,31,5116.0
64,2,1,31,7141.0
54,2,1,31,6768.0
44,2,1,31,7463.0
34,2,1,31,7385.0
24,2,1,31,6763.0
14,2,1,31,6459.0
64,1,1,31,10723.0
54,1,1,31,10254.0
44,1,1,31,10319.0
34,1,1,31,10204.0
24,1,1,31,10967.0
14,1,1,31,10881.0
64,3,16,30,7641.0
54,3,16,30,7329.0
44,3,16,30,6886.0
34,3,16,30,6695.0
24,3,16,30,7539.0
14,3,16,30,7398.0
64,2,16,30,8862.0
54,2,16,30,9625.0
44,2,16,30,8453.0
34,2,16,30,9009.0
24,2,16,30,8504.0
14,2,16,30,8354.0
64,1,16,30,13107.0
54,1,16,30,13207.0
44,1,16,30,13906.0
34,1,16,30,13416.0
24,1,16,30,13317.0
14,1,16,30,13556.0
64,3,15,30,6974.0
54,3,15,30,7030.0
44,3,15,30,7075.0
34,3,15,30,7258.0
24,3,15,30,7371.0
14,3,15,30,6766.0
14,3,15,30,7366.0
54,2,15,30,8902.0
44,2,15,30,8516.0
34,2,15,30,8696.0
24,2,15,30,8385.0
14,2,15,30,7972.0
64,1,15,30,13078.0
54,1,15,30,13532.0
44,1,15,30,13257.0
34,1,15,30,13580.0
24,1,15,30,13134.0
14,1,15,30,13246.0
64,3,14,30,6912.0
54,3,14,30,6450.0
44,3,14,30,6847.0
34,3,14,30,6944.0
24,3,14,30,6913.0
14,3,14,30,7093.0
64,2,14,30,8290.0
54,2,14,30,8510.0
44,2,14,30,8151.0
34,2,14,30,8511.0
24,2,14,30,8117.0
14,2,14,30,8293.0
64,1,14,30,13239.0
54,1,14,30,13480.0
44,1,14,30,13216.0
34,1,14,30,12983.0
24,1,14,30,13293.0
14,1,14,30,13310.0
64,3,13,30,7761.0
54,3,13,30,9403.0
44,3,13,30,7615.0
34,3,13,30,7635.0
24,3,13,30,7867.0
14,3,13,30,6603.0
64,2,13,30,8024.0
54,2,13,30,8141.0
44,2,13,30,8015.0
34,2,13,30,8074.0
24,2,13,30,8917.0
14,2,13,30,8453.0
64,1,13,30,12807.0
54,1,13,30,12899.0
44,1,13,30,13031.0
34,1,13,30,12800.0
24,1,13,30,13071.0
14,1,13,30,12622.0
64,3,12,30,7161.0
54,3,12,30,6862.0
44,3,12,30,7264.0
34,3,12,30,7912.0
24,3,12,30,7362.0
14,3,12,30,7703.0
64,2,12,30,9384.0
54,2,12,30,7921.0
44,2,12,30,8248.0
34,2,12,30,7975.0
24,2,12,30,8311.0
14,2,12,30,8321.0
64,1,12,30,13130.0
54,1,12,30,12867.0
44,1,12,30,13119.0
34,1,12,30,13020.0
24,1,12,30,13352.0
14,1,12,30,13101.0
64,3,11,30,7203.0
54,3,11,30,6661.0
44,3,11,30,6678.0
34,3,11,30,7013.0
24,3,11,30,7887.0
14,3,11,30,6265.0
64,2,11,30,8020.0
54,2,11,30,7984.0
44,2,11,30,8525.0
34,2,11,30,9159.0
24,2,11,30,8875.0
14,2,11,30,8635.0
64,1,11,30,12673.0
54,1,11,30,12878.0
44,1,11,30,12155.0
34,1,11,30,12231.0
24,1,11,30,12917.0
14,1,11,30,12576.0
64,3,10,30,7768.0
54,3,10,30,9638.0
44,3,10,30,6731.0
34,3,10,30,6679.0
24,3,10,30,7506.0
14,3,10,30,6260.0
64,2,10,30,7845.0
54,2,10,30,8098.0
44,2,10,30,8263.0
34,2,10,30,8192.0
24,2,10,30,8231.0
14,2,10,30,8584.0
64,1,10,30,12414.0
54,1,10,30,12506.0
44,1,10,30,12742.0
34,1,10,30,12920.0
34,1,10,30,12613.0
14,1,10,30,13247.0
64,3,9,30,6519.0
54,3,9,30,6532.0
44,3,9,30,6592.0
34,3,9,30,6144.0
24,3,9,30,7001.0
14,3,9,30,7759.0
64,2,9,30,7810.0
54,2,9,30,8662.0
44,2,9,30,8200.0
34,2,9,30,8382.0
24,2,9,30,7721.0
14,2,9,30,8197.0
64,1,9,30,12597.0
54,1,9,30,12177.0
44,1,9,30,12068.0
34,1,9,30,12762.0
24,1,9,30,12706.0
14,1,9,30,12729.0
64,3,8,30,7925.0
54,3,8,30,6650.0
44,3,8,30,6588.0
34,3,8,30,6255.0
24,3,8,30,7344.0
14,3,8,30,6766.0
64,2,8,30,8366.0
54,2,8,30,8006.0
44,2,8,30,9483.0
34,2,8,30,8499.0
24,2,8,30,8867.0
14,2,8,30,8162.0
64,1,8,30,11826.0
54,1,8,30,11931.0
44,1,8,30,12918.0
34,1,8,30,12665.0
24,1,8,30,12274.0
14,1,8,30,12160.0
64,3,7,30,6457.0
54,3,7,30,7220.0
44,3,7,30,5732.0
34,3,7,30,6834.0
24,3,7,30,6829.0
14,3,7,30,6015.0
64,2,7,30,7845.0
54,2,7,30,7318.0
44,2,7,30,7542.0
34,2,7,30,7584.0
24,2,7,30,7921.0
14,2,7,30,7447.0
64,1,7,30,12320.0
54,1,7,30,12166.0
44,1,7,30,12140.0
34,1,7,30,11776.0
24,1,7,30,11860.0
14,1,7,30,12386.0
64,3,6,30,6402.0
54,3,6,30,6464.0
44,3,6,30,5614.0
34,3,6,30,6145.0
24,3,6,30,6019.0
14,3,6,30,6198.0
64,2,6,30,6917.0
54,2,6,30,7067.0
44,2,6,30,7373.0
34,2,6,30,7185.0
24,2,6,30,7367.0
14,2,6,30,7014.0
64,1,6,30,11691.0
54,1,6,30,11598.0
44,1,6,30,11918.0
34,1,6,30,11639.0
24,1,6,30,11874.0
14,1,6,30,11717.0
64,3,5,30,5884.0
54,3,5,30,6800.0
44,3,5,30,5994.0
34,3,5,30,6137.0
24,3,5,30,5996.0
14,3,5,30,6186.0
64,2,5,30,7364.0
54,2,5,30,7333.0
44,2,5,30,7139.0
34,2,5,30,7092.0
24,2,5,30,7243.0
14,2,5,30,8398.0
64,1,5,30,11019.0
54,1,5,30,11646.0
44,1,5,30,11383.0
34,1,5,30,11442.0
24,1,5,30,11398.0
14,1,5,30,11068.0
64,3,4,30,5614.0
54,3,4,30,6370.0
44,3,4,30,5604.0
34,3,4,30,5886.0
24,3,4,30,5386.0
14,3,4,30,6020.0
64,2,4,30,7375.0
54,2,4,30,7344.0
54,2,4,30,7152.0
34,2,4,30,7267.0
24,2,4,30,7297.0
14,2,4,30,6914.0
64,1,4,30,10765.0
54,1,4,30,10726.0
44,1,4,30,10749.0
34,1,4,30,10631.0
24,1,4,30,10586.0
14,1,4,30,11350.0
64,3,3,30,6542.0
54,3,3,30,6034.0
44,3,3,30,5876.0
34,3,3,30,5057.0
24,3,3,30,4822.0
14,3,3,30,5870.0
64,2,3,30,8821.0
54,2,3,30,7146.0
44,2,3,30,8552.0
34,2,3,30,7329.0
24,2,3,30,6576.0
14,2,3,30,7516.0
64,1,3,30,11140.0
54,1,3,30,11895.0
44,1,3,30,10924.0
34,1,3,30,11407.0
24,1,3,30,11485.0
14,1,3,30,11374.0
64,3,2,30,6352.0
54,3,2,30,6947.0
44,3,2,30,5859.0
34,3,2,30,6777.0
24,3,2,30,5358.0
14,3,2,30,6465.0
64,2,2,30,7615.0
54,2,2,30,8576.0
44,2,2,30,8953.0
34,2,2,30,8303.0
24,2,2,30,7584.0
14,2,2,30,7362.0
64,1,2,30,11410.0
54,1,2,30,10937.0
44,1,2,30,10995.0
34,1,2,30,11507.0
24,1,2,30,10904.0
14,1,2,30,11072.0
64,3,1,30,5571.0
54,3,1,30,5699.0
44,3,1,30,6844.0
34,3,1,30,6157.0
24,3,1,30,6285.0
14,3,1,30,6722.0
64,2,1,30,7229.0
54,2,1,30,7259.0
44,2,1,30,7582.0
34,2,1,30,7087.0
24,2,1,30,7046.0
14,2,1,30,6511.0
64,1,1,30,10547.0
54,1,1,30,10835.0
44,1,1,30,10435.0
34,1,1,30,10025.0
24,1,1,30,10096.0
14,1,1,30,10910.0
64,3,16,29,10428.0
54,3,16,29,7985.0
44,3,16,29,10045.0
34,3,16,29,7738.0
24,3,16,29,7813.0
14,3,16,29,7172.0
64,2,16,29,8962.0
54,2,16,29,9607.0
44,2,16,29,9232.0
34,2,16,29,9070.0
24,2,16,29,8595.0
14,2,16,29,10124.0
64,1,16,29,13774.0
54,1,16,29,13404.0
44,1,16,29,14079.0
34,1,16,29,13742.0
24,1,16,29,13584.0
14,1,16,29,14085.0
64,3,15,29,7868.0
54,3,15,29,7104.0
44,3,15,29,6841.0
34,3,15,29,7289.0
24,3,15,29,7445.0
14,3,15,29,6902.0
64,2,15,29,8343.0
54,2,15,29,8437.0
44,2,15,29,8515.0
34,2,15,29,8466.0
24,2,15,29,8539.0
14,2,15,29,9194.0
64,1,15,29,13501.0
54,1,15,29,13050.0
44,1,15,29,13505.0
34,1,15,29,13450.0
24,1,15,29,13155.0
14,1,15,29,13233.0
14,1,15,29,13617.0
54,3,14,29,7035.0
44,3,14,29,6857.0
34,3,14,29,6870.0
24,3,14,29,7089.0
14,3,14,29,7298.0
64,2,14,29,8495.0
54,2,14,29,9032.0
44,2,14,29,8640.0
34,2,14,29,8336.0
24,2,14,29,8655.0
14,2,14,29,8375.0
64,1,14,29,13512.0
54,1,14,29,13291.0
44,1,14,29,13192.0
34,1,14,29,13915.0
24,1,14,29,13312.0
14,1,14,29,13117.0
64,3,13,29,6790.0
54,3,13,29,6760.0
44,3,13,29,7052.0
34,3,13,29,7633.0
24,3,13,29,6946.0
14,3,13,29,7243.0
64,2,13,29,8681.0
54,2,13,29,8607.0
44,2,13,29,8735.0
34,2,13,29,8301.0
24,2,13,29,8118.0
14,2,13,29,8236.0
64,1,13,29,13105.0
54,1,13,29,13382.0
44,1,13,29,13096.0
34,1,13,29,13219.0
24,1,13,29,13276.0
14,1,13,29,13409.0
64,3,12,29,7109.0
54,3,12,29,6765.0
44,3,12,29,6788.0
34,3,12,29,6805.0
24,3,12,29,6935.0
14,3,12,29,6657.0
64,2,12,29,8105.0
54,2,12,29,8453.0
44,2,12,29,8218.0
34,2,12,29,7810.0
24,2,12,29,7779.0
14,2,12,29,8237.0
64,1,12,29,12545.0
54,1,12,29,12911.0
44,1,12,29,13428.0
34,1,12,29,13124.0
24,1,12,29,12893.0
14,1,12,29,12444.0
64,3,11,29,6414.0
54,3,11,29,6743.0
44,3,11,29,7001.0
34,3,11,29,6586.0
24,3,11,29,6425.0
14,3,11,29,6431.0
64,2,11,29,7906.0
54,2,11,29,7975.0
44,2,11,29,8010.0
34,2,11,29,7923.0
24,2,11,29,8283.0
14,2,11,29,7961.0
64,1,11,29,12810.0
54,1,11,29,13014.0
44,1,11,29,12953.0
34,1,11,29,12524.0
24,1,11,29,12997.0
14,1,11,29,12876.0
64,3,10,29,6228.0
54,3,10,29,6113.0
44,3,10,29,6336.0
34,3,10,29,6750.0
24,3,10,29,6561.0
14,3,10,29,7066.0
64,2,10,29,8601.0
54,2,10,29,8115.0
44,2,10,29,7773.0
34,2,10,29,8206.0
24,2,10,29,8108.0
14,2,10,29,7674.0
64,1,10,29,12329.0
54,1,10,29,12037.0
44,1,10,29,12629.0
34,1,10,29,12285.0
24,1,10,29,11985.0
14,1,10,29,12634.0
64,3,9,29,6653.0
54,3,9,29,6867.0
44,3,9,29,7955.0
34,3,9,29,6717.0
24,3,9,29,6392.0
14,3,9,29,6688.0
64,2,9,29,8209.0
54,2,9,29,8351.0
44,2,9,29,8059.0
34,2,9,29,7752.0
34,2,9,29,8275.0
14,2,9,29,8464.0
64,1,9,29,12261.0
54,1,9,29,12158.0
44,1,9,29,12056.0
34,1,9,29,12361.0
24,1,9,29,12756.0
14,1,9,29,12794.0
64,3,8,29,5805.0
54,3,8,29,6005.0
44,3,8,29,6029.0
34,3,8,29,5916.0
24,3,8,29,5926.0
14,3,8,29,6446.0
64,2,8,29,7387.0
54,2,8,29,7936.0
44,2,8,29,7359.0
34,2,8,29,8362.0
24,2,8,29,7974.0
14,2,8,29,8244.0
64,1,8,29,12265.0
54,1,8,29,12058.0
44,1,8,29,12222.0
34,1,8,29,12147.0
24,1,8,29,12222.0
14,1,8,29,13356.0
64,3,7,29,6195.0
54,3,7,29,8041.0
44,3,7,29,6067.0
34,3,7,29,6059.0
24,3,7,29,5896.0
14,3,7,29,6106.0
64,2,7,29,7615.0
54,2,7,29,8294.0
44,2,7,29,7734.0
34,2,7,29,7804.0
24,2,7,29,8431.0
14,2,7,29,7808.0
64,1,7,29,11665.0
54,1,7,29,12533.0
44,1,7,29,11867.0
34,1,7,29,12188.0
24,1,7,29,11889.0
14,1,7,29,11960.0
64,3,6,29,5522.0
54,3,6,29,5838.0
44,3,6,29,5617.0
34,3,6,29,5440.0
24,3,6,29,6143.0
14,3,6,29,5451.0
64,2,6,29,7734.0
54,2,6,29,7470.0
44,2,6,29,9229.0
34,2,6,29,7593.0
24,2,6,29,7655.0
14,2,6,29,6973.0
64,1,6,29,11298.0
54,1,6,29,12289.0
44,1,6,29,12040.0
34,1,6,29,12007.0
24,1,6,29,10973.0
14,1,6,29,11481.0
64,3,5,29,5911.0
54,3,5,29,5306.0
44,3,5,29,5855.0
34,3,5,29,6278.0
24,3,5,29,6232.0
14,3,5,29,5837.0
64,2,5,29,7661.0
54,2,5,29,7187.0
44,2,5,29,6937.0
34,2,5,29,6734.0
